No.|CSK|NATIONALITY|DC|NATIONALITY|MI|NATIONALITY|KXIP|NATIONALITY|KKR|NATIONALITY|RR|NATIONALITY|RCB|NATIONALITY|SRH|NATIONALITY
1|MS Dhoni|IND|SS Iyer|IND|RG Sharma|IND|KL Rahul|IND|EJG Morgan|INT|SV Samson||V Kohli|IND|DA Warner|INT
2|AT Rayudu|IND|AM Rahane|IND|AP Tare|IND|Arshdeep Singh|IND|AD Russell|INT|AJ Tye|INT|AB de Villiers|INT|AbdulSamad|IND
3|KM Asif|IND|A Mishra|IND|AS Roy|IND|CH Gayle|INT|KD Karthik|IND|AnujRawat||A Zampa|INT|Abhishek Sharma|IND
4|DJ Bravo|INT|AnrichNortje|INT|AnmolpreetSingh|IND|CJ Jordan|INT|KamleshNagarkoti|IND|BA Stokes|INT|DevduttPadikkal|IND|Basil Thampi|IND
5|DL Chahar|IND|Avesh Khan|IND|CA Lynn|INT|DarshanNalkande|IND|Kuldeep Yadav|IND|DA Miller|INT|KW Richardson|INT|B Kumar|IND
6|F du Plessis|INT|AR Patel|IND|DS Kulkarni|IND|DJ Hooda|IND|LH Ferguson|INT|JD Unadkat||Mohammed Siraj|IND|JO Holder|INT
7|Imran Tahir|INT|CR Woakes|INT|HH Pandya|IND|Harpreet Brar|IND|N Rana|IND|JC Archer|INT|N Saini|IND|JM Bairstow|INT
8|NarayanJagadeesan|IND|I Sharma|IND|Ishan Kishan|IND|IshanPorel|IND|PJ Cummins|INT|JC Buttler|INT|PavanDeshpande|IND|KS Williamson|INT
9|JoshHazlewood|INT|K Rabada|INT|JJ Bumrah|IND|Mandeep Singh|IND|M Prasidh Krishna|IND|KartikTyagi|IND|ShahbazAhmed|IND|MK Pandey|IND
10|KarnSharma|IND|LalithYadav|IND|J Yadav|IND|MA Agarwal|IND|RA Tripathi|IND|MK Lomror|IND|Washington Sundar|IND|MR Marsh|INT
11|L Ngidi|INT|MP Stoinis|INT|KA Pollard|INT|Mohammed Shami|IND|S Sandeep Warrier|IND|M Vohra|IND|YS Chahal|IND|Mohammad Nabi|INT
12|MJ Santner|INT|PravinDubey|IND|KH Pandya|IND|M Ashwin|IND|RK Singh|IND|M Markande|IND|DanielSams|IND|PriyamGarg|IND
13|RSai Kishore|IND|PP Shaw|IND|MohsinKhan|IND|N Pooran|INT|Shivam Mavi|IND|R Tewatia|IND|HV Patel|IND|Rashid Khan|INT
14|RA Jadeja|IND|R Ashwin|IND|Q de Kock|INT|P Simran Singh|IND|Shubman Gill|IND|R Parag|IND|GJ Maxwell|INT|Sandeep Sharma|IND
15|RV Uthappa|IND|RR Pant|IND|RD Chahar|IND|R Bishnoi|IND|SP Narine|INT|S Gopal|IND|Sachin Baby|IND|S Nadeem|IND
16|RuturajGaikwad|IND|S Dhawan|IND|SS Tiwary|IND|SN Khan|IND|TimSeifert|INT|YashasviJaiswal|IND|RajatPatidar|IND|SP Goswami|IND
17|SM Curran|INT|SO Hetmyer|INT|SA Yadav|IND|DawidMalan|INT|VarunChakravarthy|IND|S Dube|IND|MohammedAzharuddeen|IND|S Kaul|IND
18|SN Thakur|IND|SPD Smith|INT|TA Boult|INT|JhyeRichardson|INT|Shakib Al Hasan|INT|CH Morris|INT|KyleJamieson|INT|KK Ahmed|IND
19|SK Raina|IND|UT Yadav|IND|AF Milne|INT|ShahrukhKhan|IND|SP Jackson|IND|Mustafizur Rahman|INT|DT Christian|INT|T Natarajan|IND
20|MM Ali|INT|RipalPatel|IND|NM Coulter-Nile|INT|RileyMeredith|INT|VaibhavArora|IND|ChetanSakariya|IND|SuyashPrabhudessai|IND|Vijay Shankar|IND
21|K Gowtham|IND|Vishnu Vinod|IND|PP Chawla|IND|MC Henriques|INT|KK Nair|IND|KC Cariappa|IND|K.SBharat|IND|ViratSingh|IND
22|CA Pujara|IND|LukmanMeriwala|IND|JimmyNeesham|INT|JalajSaxena|IND|Harbhajan Singh|IND|LS Livingstone|INT|FinnAllen|INT|WP Saha|IND
23|HarishankarReddy|IND|MSiddharth|IND|YudhvirCharak|IND|UtkarshSingh|IND|BCJ Cutting|INT|Kuldeep Yadav|IND|||J Suchith|IND
24|CHari Nishaanth|IND|T Curran|INT|MarcoJansen|INT|FabianAllen|INT|VenkateshIyer|IND|AkashSingh|IND|||KM Jadhav|IND
25|BhagathVarma|IND|SW Billings|INT|ArjunTendulkar|IND|SaurabhKumar|IND|P Negi|IND|||||Mujeeb Ur Rahman|INT
