Player|Mat|Inns|Balls|Mdns|Runs|Wkts|4|5|Ct|St|Ave|SR|Econ
A Ashish Reddy|31|20|262|0|396|18|0|0|9|0|22|14.56|9.07
A Chandila|12|12|234|0|242|11|1|0|7|0|22|21.27|6.21
A Chopra|7|0|0|0|0|0|0|0|2|0|0|0|0
A Choudhary|5|5|101|2|144|5|0|0|0|0|28.8|20.2|8.55
A Dananjaya|1|1|24|0|47|0|0|0|0|0|0|0|11.75
A Flintoff|3|3|66|0|105|2|0|0|4|0|52.5|33|9.55
A Kumble|42|42|965|1|1058|45|2|1|10|0|23.51|21.44|6.58
A Mishra|147|147|3101|6|3795|157|3|1|20|0|24.17|19.75|7.34
A Mithun|16|16|288|0|472|7|0|0|7|0|67.43|41.14|9.83
A Mukund|3|0|0|0|0|0|0|0|3|0|0|0|0
A Nehra|88|88|1908|2|2495|106|1|0|19|0|23.54|18|7.85
A Nel|1|1|18|0|31|1|0|0|0|0|31|18|10.33
A Singh|23|23|473|1|620|28|1|0|1|0|22.14|16.89|7.86
A Symonds|39|30|527|0|674|20|0|0|21|0|33.7|26.35|7.67
A Uniyal|2|2|36|0|66|2|0|0|0|0|33|18|11
A Zampa|11|11|221|0|278|19|0|1|0|0|14.63|11.63|7.55
AA Bilakhia|7|0|0|0|0|0|0|0|1|0|0|0|0
AA Chavan|13|13|248|0|326|8|0|0|3|0|40.75|31|7.89
AA Jhunjhunwala|21|10|85|0|129|1|0|0|10|0|129|85|9.11
AA Kazi|1|1|12|0|21|0|0|0|0|0|0|0|10.5
AA Noffke|1|1|24|0|40|1|0|0|0|0|40|24|10
AB Agarkar|42|42|782|0|1151|29|0|0|5|0|39.69|26.97|8.83
AB Barath|3|0|0|0|0|0|0|0|0|0|0|0|0
AB Dinda|78|75|1516|3|2073|69|1|0|7|0|30.04|21.97|8.2
AB McDonald|11|10|186|0|261|11|0|0|0|0|23.73|16.91|8.42
AB de Villiers|154|0|0|0|0|0|0|0|93|7|0|0|0
AC Blizzard|7|0|0|0|0|0|0|0|4|0|0|0|0
AC Gilchrist|80|1|1|0|0|1|0|0|51|16|0|1|0
AC Thomas|15|15|315|2|406|14|0|0|3|0|29|22.5|7.73
AC Voges|9|7|54|0|76|0|0|0|1|0|0|0|8.44
AD Hales|6|0|0|0|0|0|0|0|2|0|0|0|0
AD Mascarenhas|13|13|308|1|356|19|0|1|3|0|18.74|16.21|6.94
AD Mathews|49|44|791|0|1079|27|1|0|19|0|39.96|29.3|8.18
AD Nath|14|0|0|0|0|0|0|0|2|0|0|0|0
AD Russell|64|61|1039|0|1538|55|1|0|21|0|27.96|18.89|8.88
AF Milne|5|5|108|0|177|4|0|0|5|0|44.25|27|9.83
AG Murtaza|12|12|264|0|313|9|0|0|3|0|34.78|29.33|7.11
AG Paunikar|5|0|0|0|0|0|0|0|1|0|0|0|0
AJ Finch|75|5|43|0|67|1|0|0|24|0|67|43|9.35
AJ Turner|4|0|0|0|0|0|0|0|0|0|0|0|0
AJ Tye|26|26|594|0|822|39|3|1|7|0|21.08|15.23|8.3
AL Menaria|29|12|110|0|144|3|0|0|5|0|48|36.67|7.85
AM Nayar|60|19|229|0|322|9|0|0|13|0|35.78|25.44|8.44
AM Rahane|140|1|6|0|5|1|0|0|54|0|5|6|5
AM Salvi|7|7|150|0|200|7|0|0|2|0|28.57|21.43|8
AN Ahmed|17|17|344|1|498|12|0|0|2|0|41.5|28.67|8.69
AN Ghosh|2|0|0|0|0|0|0|0|1|0|0|0|0
AP Dole|3|3|66|0|112|5|0|0|2|0|22.4|13.2|10.18
AP Majumdar|4|0|0|0|0|0|0|0|0|0|0|0|0
AP Tare|35|0|0|0|0|0|0|0|3|5|0|0|0
AR Bawne|1|0|0|0|0|0|0|0|0|0|0|0|0
AR Patel|82|81|1713|2|2129|71|1|0|34|0|29.99|24.13|7.46
AS Joseph|3|3|52|1|87|6|0|1|1|0|14.5|8.67|10.04
AS Rajpoot|23|23|427|1|615|22|0|1|4|0|27.95|19.41|8.64
AS Raut|22|5|30|0|44|0|0|0|9|0|0|0|8.8
AS Roy|1|1|12|0|11|1|0|0|0|0|11|12|5.5
AS Yadav|8|0|0|0|0|0|0|0|1|0|0|0|0
AT Rayudu|147|0|0|0|0|0|0|0|53|2|0|0|0
AUK Pathan|8|3|39|0|63|0|0|0|2|0|0|0|9.69
Abdur Razzak|1|1|12|0|29|0|0|0|0|0|0|0|14.5
Abhishek Sharma|6|2|12|0|21|1|0|0|2|0|21|12|10.5
Anand Rajan|8|8|149|0|201|8|0|0|3|0|25.12|18.62|8.09
Anirudh Singh|5|0|0|0|0|0|0|0|3|0|0|0|0
Ankit Sharma|22|21|367|0|450|12|0|0|4|0|37.5|30.58|7.36
Ankit Soni|7|6|109|0|144|2|0|0|1|0|72|54.5|7.93
Anureet Singh|23|22|412|0|623|18|0|0|5|0|34.61|22.89|9.07
Arshdeep Singh|3|3|60|0|109|3|0|0|0|0|36.33|20|10.9
Avesh Khan|8|8|156|0|257|5|0|0|4|0|51.4|31.2|9.88
Azhar Mahmood|23|23|537|0|700|29|0|0|8|0|24.14|18.52|7.82
B Akhil|15|13|188|0|242|6|0|0|3|0|40.33|31.33|7.72
B Chipli|23|1|6|0|20|0|0|0|3|0|0|0|20
B Geeves|2|2|48|0|91|1|0|0|3|0|91|48|11.38
B Kumar|117|117|2612|8|3154|133|2|1|27|0|23.71|19.64|7.25
B Laughlin|9|9|167|0|282|10|0|0|1|0|28.2|16.7|10.13
B Lee|38|38|875|3|1095|25|0|0|10|0|43.8|35|7.51
B Stanlake|6|6|144|0|200|7|0|0|1|0|28.57|20.57|8.33
B Sumanth|5|0|0|0|0|0|0|0|4|0|0|0|0
BA Bhatt|17|15|296|0|397|12|1|0|1|0|33.08|24.67|8.05
BA Stokes|34|30|587|2|808|26|0|0|14|0|31.08|22.58|8.26
BAW Mendis|10|10|240|0|285|8|0|0|2|0|35.62|30|7.12
BB McCullum|109|0|0|0|0|0|0|0|37|6|0|0|0
BB Samantray|9|0|0|0|0|0|0|0|3|0|0|0|0
BB Sran|24|24|483|0|757|18|0|0|4|0|42.06|26.83|9.4
BCJ Cutting|21|17|281|0|429|10|0|0|10|0|42.9|28.1|9.16
BE Hendricks|7|7|150|0|235|9|0|0|3|0|26.11|16.67|9.4
BJ Haddin|1|0|0|0|0|0|0|0|0|0|0|0|0
BJ Hodge|66|20|234|0|303|17|1|0|22|0|17.82|13.76|7.77
BJ Rohrer|8|1|6|0|12|0|0|0|3|0|0|0|12
BMAJ Mendis|3|2|30|0|36|1|0|0|2|0|36|30|7.2
BR Dunk|3|0|0|0|0|0|0|0|3|0|0|0|0
BW Hilfenhaus|17|17|372|2|479|22|0|0|1|0|21.77|16.91|7.73
Basil Thampi|19|19|401|0|648|16|0|0|4|0|40.5|25.06|9.7
Bipul Sharma|33|28|426|0|572|17|0|0|7|0|33.65|25.06|8.06
C Ganapathy|1|1|6|0|13|0|0|0|0|0|0|0|13
C Madan|1|0|0|0|0|0|0|0|0|0|0|0|0
C Munro|13|2|12|0|15|0|0|0|4|0|0|0|7.5
C Nanda|3|3|48|0|57|2|0|0|0|0|28.5|24|7.12
C de Grandhomme|25|19|216|0|319|6|0|0|6|0|53.17|36|8.86
CA Ingram|15|0|0|0|0|0|0|0|1|0|0|0|0
CA Lynn|41|0|0|0|0|0|0|0|10|0|0|0|0
CA Pujara|30|0|0|0|0|0|0|0|6|0|0|0|0
CH Gayle|125|37|549|0|724|18|0|0|25|0|40.22|30.5|7.91
CH Morris|61|61|1284|0|1709|69|2|0|27|0|24.77|18.61|7.99
CJ Anderson|30|22|297|0|518|11|0|0|11|0|47.09|27|10.46
CJ Dala|1|1|18|0|34|0|0|0|0|0|0|0|11.33
CJ Ferguson|9|0|0|0|0|0|0|0|2|0|0|0|0
CJ Jordan|11|11|198|0|298|12|1|0|4|0|24.83|16.5|9.03
CJ McKay|2|2|42|0|60|1|0|0|0|0|60|42|8.57
CK Kapugedera|5|3|17|0|49|0|0|0|4|0|0|0|17.29
