Player|Mat|Inns|NO|Runs|Balls Faced|100|50|ducks|4s|6s|Ave|SR|HS|NO in HS
A Ashish Reddy|31|23|8|280|193|0|0|0|17|14|18.67|145.08|36|1
A Chandila|12|2|2|4|7|0|0|0|0|0|0|57.14|4|1
A Chopra|7|6|0|53|71|0|0|0|7|0|8.83|74.65|24|0
A Choudhary|5|3|2|25|20|0|0|0|1|1|25|125|15|1
A Dananjaya|1|1|1|4|5|0|0|0|0|0|0|80|4|1
A Flintoff|3|3|1|62|53|0|0|0|5|2|31|116.98|24|0
A Kumble|42|17|14|35|47|0|0|0|3|0|11.67|74.47|8|0
A Mishra|147|56|25|362|389|0|0|10|29|5|11.68|93.06|31|0
A Mithun|16|8|3|34|26|0|0|1|4|1|6.8|130.77|11|0
A Mukund|3|2|0|19|22|0|0|1|1|0|9.5|86.36|19|0
A Nehra|88|22|15|41|62|0|0|5|3|1|5.86|66.13|22|1
A Nel|1|1|0|0|0|0|0|1|0|0|0|0|0|0
A Singh|23|5|1|2|10|0|0|3|0|0|0.5|20|0|1
A Symonds|39|36|9|974|750|1|5|0|74|41|36.07|129.87|117|1
A Uniyal|2|2|1|4|7|0|0|1|0|0|4|57.14|4|1
A Zampa|11|2|0|5|8|0|0|1|1|0|2.5|62.5|5|0
AA Bilakhia|7|7|2|69|85|0|0|0|5|0|13.8|81.18|22|0
AA Chavan|13|3|1|12|11|0|0|0|2|0|6|109.09|7|1
AA Jhunjhunwala|21|16|3|217|210|0|1|1|19|5|16.69|103.33|53|1
AA Kazi|1|0|0|0|0|0|0|0|0|0|0|0|0|0
AA Noffke|1|1|0|9|10|0|0|0|1|0|9|90|9|0
AB Agarkar|42|22|12|179|154|0|0|1|13|5|17.9|116.23|39|0
AB Barath|3|3|1|42|42|0|0|0|5|1|21|100|33|0
AB Dinda|78|17|7|26|48|0|0|6|2|0|2.6|54.17|7|0
AB McDonald|11|9|4|123|100|0|0|1|9|4|24.6|123|33|1
AB de Villiers|154|142|32|4395|2906|3|33|8|357|212|39.95|151.24|133|1
AC Blizzard|7|7|0|120|90|0|1|1|21|2|17.14|133.33|51|0
AC Gilchrist|80|80|4|2069|1495|2|11|7|239|92|27.22|138.39|109|1
AC Thomas|15|4|2|20|19|0|0|0|1|1|10|105.26|12|0
AC Voges|9|7|3|181|143|0|0|0|15|3|45.25|126.57|45|1
AD Hales|6|6|0|148|118|0|0|0|13|6|24.67|125.42|45|0
AD Mascarenhas|13|11|2|79|78|0|0|2|5|1|8.78|101.28|27|0
AD Mathews|49|42|11|724|575|0|1|3|44|29|23.35|125.91|65|1
AD Nath|14|10|0|90|98|0|0|1|7|2|9|91.84|24|0
AD Russell|64|52|10|1400|751|0|8|2|96|120|33.33|186.42|88|1
AF Milne|5|3|1|7|12|0|0|0|0|0|3.5|58.33|5|0
AG Murtaza|12|3|2|10|14|0|0|0|1|0|10|71.43|5|0
AG Paunikar|5|5|0|49|58|0|0|1|9|0|9.8|84.48|20|0
AJ Finch|75|73|7|1737|1329|0|13|8|176|67|26.32|130.7|88|1
AJ Turner|4|4|1|3|10|0|0|3|0|0|1|30|3|1
AJ Tye|26|12|4|85|70|0|0|2|6|4|10.62|121.43|25|0
AL Menaria|29|23|2|401|356|0|0|1|24|18|19.1|112.64|40|0
AM Nayar|60|50|12|672|577|0|0|3|55|20|17.68|116.46|45|1
AM Rahane|140|132|16|3820|3133|2|27|11|404|74|32.93|121.93|105|1
AM Salvi|7|0|0|0|0|0|0|0|0|0|0|0|0|0
AN Ahmed|17|6|5|36|26|0|0|0|4|1|36|138.46|18|1
AN Ghosh|2|2|0|7|8|0|0|1|1|0|3.5|87.5|7|0
AP Dole|3|2|0|34|22|0|0|0|3|1|17|154.55|30|0
AP Majumdar|4|4|0|87|76|0|0|0|7|2|21.75|114.47|31|0
AP Tare|35|28|4|339|273|0|1|5|40|11|14.12|124.18|59|0
AR Bawne|1|1|1|12|12|0|0|0|1|0|0|100|12|1
AR Patel|82|63|21|796|630|0|0|5|47|35|18.95|126.35|44|0
AS Joseph|3|2|2|15|13|0|0|0|2|0|0|115.38|15|1
AS Rajpoot|23|5|1|17|31|0|0|0|2|0|4.25|54.84|8|0
AS Raut|22|16|7|194|167|0|0|1|13|7|21.56|116.17|36|1
AS Roy|1|0|0|0|0|0|0|0|0|0|0|0|0|0
AS Yadav|8|6|1|49|39|0|0|1|5|2|9.8|125.64|16|0
AT Rayudu|147|140|25|3300|2620|1|18|12|278|120|28.7|125.95|100|1
AUK Pathan|8|7|2|39|23|0|0|2|5|2|7.8|169.57|14|0
