|Player|venue|final_score_bat|final_score_ball|player_score
0|A Ashish Reddy|Barabati Stadium|0.0|6.9375|6.9375
1|A Ashish Reddy|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|4.8165|6.0|10.8165
2|A Ashish Reddy|Eden Gardens|4.0665000000000004|6.9375|11.004000000000001
3|A Ashish Reddy|M Chinnaswamy Stadium|5.079|6.0|11.079
4|A Ashish Reddy|MA Chidambaram Stadium, Chepauk|5.229|6.0|11.229
5|A Ashish Reddy|Rajiv Gandhi International Stadium, Uppal|4.40025|7.40625|11.8065
6|A Ashish Reddy|Subrata Roy Sahara Stadium|5.1915|8.8125|14.004
7|A Ashish Reddy|Wankhede Stadium|4.516500000000001|6.9375|11.454
8|A Chandila|M Chinnaswamy Stadium|0.075|5.7555|5.8305
9|A Chandila|MA Chidambaram Stadium, Chepauk|0.0|7.6305|7.6305
10|A Chandila|Punjab Cricket Association Stadium, Mohali|0.0|7.6305|7.6305
11|A Chandila|Rajiv Gandhi International Stadium, Uppal|-0.22499999999999998|7.6305|7.4055
12|A Chandila|Sawai Mansingh Stadium|0.0|7.6305|7.6305
13|A Choudhary|M Chinnaswamy Stadium|2.8882499999999998|8.58|11.46825
14|A Choudhary|Rajiv Gandhi International Stadium, Uppal|2.6257499999999996|8.58|11.20575
15|A Choudhary|Wankhede Stadium|0.0|8.58|8.58
16|A Dananjaya|Wankhede Stadium|1.2249999999999999|-1.575|-0.3500000000000001
17|A Flintoff|Kingsmead|6.67425|3.75075|10.425
18|A Flintoff|Newlands|7.274249999999999|5.62575|12.899999999999999
19|A Flintoff|St George's Park|7.124249999999999|5.62575|12.75
20|A Kumble|Brabourne Stadium|0.0|8.586749999999999|8.586749999999999
21|A Kumble|Dr DY Patil Sports Academy|-0.09599999999999995|11.39925|11.30325
22|A Kumble|Eden Gardens|0.0|7.649249999999999|7.649249999999999
23|A Kumble|Feroz Shah Kotla|-0.09599999999999995|8.586749999999999|8.490749999999998
24|A Kumble|Kingsmead|0.05400000000000005|9.993|10.047
25|A Kumble|M Chinnaswamy Stadium|-0.04574999999999996|8.43675|8.391
26|A Kumble|MA Chidambaram Stadium, Chepauk|-0.020999999999999953|10.46175|10.44075
27|A Kumble|New Wanderers Stadium|-0.09599999999999995|9.524249999999999|9.428249999999998
28|A Kumble|Newlands|-0.09599999999999995|11.39925|11.30325
29|A Kumble|Punjab Cricket Association Stadium, Mohali|-0.17099999999999996|7.649249999999999|7.478249999999999
30|A Kumble|Rajiv Gandhi International Stadium, Uppal|0.0|8.586749999999999|8.586749999999999
31|A Kumble|Sawai Mansingh Stadium|0.42900000000000005|7.649249999999999|8.078249999999999
32|A Kumble|St George's Park|0.12900000000000003|6.711749999999999|6.84075
33|A Kumble|SuperSport Park|0.0|9.205499999999999|9.205499999999999
34|A Kumble|Vidarbha Cricket Association Stadium, Jamtha|-0.020999999999999953|8.586749999999999|8.565749999999998
35|A Mishra|Barabati Stadium|0.9127499999999998|7.434749999999999|8.347499999999998
36|A Mishra|Brabourne Stadium|1.36275|6.1785|7.54125
37|A Mishra|Buffalo Park|0.0|6.1785|6.1785
38|A Mishra|Dr DY Patil Sports Academy|0.0|9.9285|9.9285
39|A Mishra|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|3.5674999999999994|25.9075|29.474999999999998
40|A Mishra|Dubai International Cricket Stadium|0.0|20.595|20.595
41|A Mishra|Eden Gardens|1.6402499999999998|7.247249999999999|8.8875
42|A Mishra|Feroz Shah Kotla|4.055|29.3825|33.4375
43|A Mishra|Green Park|1.4752499999999997|8.0535|9.528749999999999
44|A Mishra|Himachal Pradesh Cricket Association Stadium|0.0|13.6785|13.6785
45|A Mishra|Kingsmead|1.0252499999999998|6.1785|7.203749999999999
46|A Mishra|M Chinnaswamy Stadium|0.0|8.0535|8.0535
47|A Mishra|M.Chinnaswamy Stadium|1.4752499999999997|6.1785|7.65375
48|A Mishra|MA Chidambaram Stadium, Chepauk|4.842499999999999|23.22|28.0625
49|A Mishra|Maharashtra Cricket Association Stadium|0.0|28.72|28.72
50|A Mishra|Nehru Stadium|0.8752499999999999|8.0535|8.928749999999999
51|A Mishra|New Wanderers Stadium|1.7002499999999998|8.991|10.69125
52|A Mishra|OUTsurance Oval|0.0|11.8035|11.8035
53|A Mishra|Punjab Cricket Association IS Bindra Stadium, Mohali|1.17525|20.595|21.770249999999997
54|A Mishra|Punjab Cricket Association Stadium, Mohali|0.0|7.434749999999999|7.434749999999999
55|A Mishra|Rajiv Gandhi International Stadium, Uppal|1.41075|27.388749999999998|28.7995
56|A Mishra|Sardar Patel Stadium, Motera|0.8752499999999999|8.0535|8.928749999999999
57|A Mishra|Saurashtra Cricket Association Stadium|0.0|8.0535|8.0535
58|A Mishra|Sawai Mansingh Stadium|1.8127499999999999|23.726249999999997|25.538999999999998
59|A Mishra|Shaheed Veer Narayan Singh International Stadium|0.0|6.797249999999999|6.797249999999999
60|A Mishra|Sharjah Cricket Stadium|1.17525|26.845|28.020249999999997
61|A Mishra|Sheikh Zayed Stadium|0.0|33.095|33.095
62|A Mishra|St George's Park|0.0|8.0535|8.0535
63|A Mishra|Subrata Roy Sahara Stadium|3.12525|9.9285|13.053749999999999
64|A Mishra|SuperSport Park|1.1999999999999997|9.45975|10.659749999999999
65|A Mishra|Wankhede Stadium|1.4002499999999998|8.0535|9.45375
66|A Mithun|Feroz Shah Kotla|1.7355|5.273999999999999|7.009499999999999
67|A Mithun|Himachal Pradesh Cricket Association Stadium|2.298|2.4615|4.7595
68|A Mithun|JSCA International Stadium Complex|1.698|4.3365|6.0344999999999995
69|A Mithun|M Chinnaswamy Stadium|1.998|3.26775|5.26575
70|A Mithun|MA Chidambaram Stadium, Chepauk|2.3729999999999998|2.4615|4.8345
71|A Mithun|Nehru Stadium|0.0|2.4615|2.4615
72|A Mithun|St George's Park|0.0|2.4615|2.4615
73|A Mithun|Wankhede Stadium|0.0|4.3365|4.3365
74|A Nehra|Barabati Stadium|0.0|8.732999999999999|8.732999999999999
75|A Nehra|Brabourne Stadium|0.0|9.670499999999999|9.670499999999999
76|A Nehra|Buffalo Park|0.0|10.607999999999999|10.607999999999999
77|A Nehra|Dr DY Patil Sports Academy|0.0|10.607999999999999|10.607999999999999
78|A Nehra|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|0.0|14.357999999999999|14.357999999999999
79|A Nehra|Eden Gardens|-0.2595|7.983|7.7235
80|A Nehra|Feroz Shah Kotla|0.5655|8.732999999999999|9.298499999999999
81|A Nehra|Himachal Pradesh Cricket Association Stadium|0.0|10.607999999999999|10.607999999999999
82|A Nehra|JSCA International Stadium Complex|0.0|12.482999999999999|12.482999999999999
83|A Nehra|Kingsmead|0.0|9.35175|9.35175
84|A Nehra|M Chinnaswamy Stadium|-0.297|9.98925|9.69225
85|A Nehra|MA Chidambaram Stadium, Chepauk|-0.27225|10.10175|9.8295
86|A Nehra|New Wanderers Stadium|0.0|10.607999999999999|10.607999999999999
87|A Nehra|OUTsurance Oval|-0.222|8.732999999999999|8.511
88|A Nehra|Punjab Cricket Association IS Bindra Stadium, Mohali|0.0|9.670499999999999|9.670499999999999
89|A Nehra|Punjab Cricket Association Stadium, Mohali|-0.147|8.732999999999999|8.585999999999999
90|A Nehra|Rajiv Gandhi International Stadium, Uppal|-0.2595|8.732999999999999|8.4735
91|A Nehra|Sardar Patel Stadium, Motera|0.0|6.858|6.858
