|batsman|venue|final_score_bat|matches
0|A Ashish Reddy|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|4.8165|1
1|A Ashish Reddy|Eden Gardens|4.0665000000000004|1
2|A Ashish Reddy|Feroz Shah Kotla|4.9665|1
3|A Ashish Reddy|M Chinnaswamy Stadium|5.079|1
4|A Ashish Reddy|MA Chidambaram Stadium, Chepauk|5.229|1
5|A Ashish Reddy|Punjab Cricket Association Stadium, Mohali|5.4165|1
6|A Ashish Reddy|Rajiv Gandhi International Stadium, Uppal|4.40025|1
7|A Ashish Reddy|Sawai Mansingh Stadium|4.8165|1
8|A Ashish Reddy|Subrata Roy Sahara Stadium|5.1915|1
9|A Ashish Reddy|Wankhede Stadium|4.516500000000001|1
10|A Chandila|M Chinnaswamy Stadium|0.075|1
11|A Chandila|Rajiv Gandhi International Stadium, Uppal|-0.22499999999999998|1
12|A Chopra|Eden Gardens|2.00025|1
13|A Chopra|Newlands|2.4|1
14|A Chopra|Rajiv Gandhi International Stadium, Uppal|3.375|1
15|A Chopra|Wankhede Stadium|1.65|1
16|A Choudhary|M Chinnaswamy Stadium|2.8882499999999998|1
17|A Choudhary|Rajiv Gandhi International Stadium, Uppal|2.6257499999999996|1
18|A Dananjaya|Wankhede Stadium|1.2249999999999999|1
19|A Flintoff|Kingsmead|6.67425|1
20|A Flintoff|Newlands|7.274249999999999|1
21|A Flintoff|St George's Park|7.124249999999999|1
22|A Kumble|Dr DY Patil Sports Academy|-0.09599999999999995|1
23|A Kumble|Feroz Shah Kotla|-0.09599999999999995|1
24|A Kumble|Kingsmead|0.05400000000000005|1
25|A Kumble|M Chinnaswamy Stadium|-0.04574999999999996|1
26|A Kumble|MA Chidambaram Stadium, Chepauk|-0.020999999999999953|1
27|A Kumble|New Wanderers Stadium|-0.09599999999999995|1
28|A Kumble|Newlands|-0.09599999999999995|1
29|A Kumble|Punjab Cricket Association Stadium, Mohali|-0.17099999999999996|1
30|A Kumble|Sawai Mansingh Stadium|0.42900000000000005|1
31|A Kumble|St George's Park|0.12900000000000003|1
32|A Kumble|Vidarbha Cricket Association Stadium, Jamtha|-0.020999999999999953|1
33|A Mishra|Barabati Stadium|0.9127499999999998|1
34|A Mishra|Brabourne Stadium|1.36275|1
35|A Mishra|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|3.5674999999999994|2
36|A Mishra|Eden Gardens|1.6402499999999998|1
37|A Mishra|Feroz Shah Kotla|4.055|2
38|A Mishra|Green Park|1.4752499999999997|1
39|A Mishra|Kingsmead|1.0252499999999998|1
40|A Mishra|M.Chinnaswamy Stadium|1.4752499999999997|1
41|A Mishra|MA Chidambaram Stadium, Chepauk|4.842499999999999|2
42|A Mishra|Nehru Stadium|0.8752499999999999|1
43|A Mishra|New Wanderers Stadium|1.7002499999999998|1
44|A Mishra|Punjab Cricket Association IS Bindra Stadium, Mohali|1.17525|1
45|A Mishra|Rajiv Gandhi International Stadium, Uppal|1.41075|1
46|A Mishra|Sardar Patel Stadium, Motera|0.8752499999999999|1
47|A Mishra|Sawai Mansingh Stadium|1.8127499999999999|1
48|A Mishra|Sharjah Cricket Stadium|1.17525|1
49|A Mishra|Subrata Roy Sahara Stadium|3.12525|1
50|A Mishra|SuperSport Park|1.1999999999999997|1
51|A Mishra|Wankhede Stadium|1.4002499999999998|1
52|A Mithun|Feroz Shah Kotla|1.7355|1
53|A Mithun|Himachal Pradesh Cricket Association Stadium|2.298|1
54|A Mithun|JSCA International Stadium Complex|1.698|1
55|A Mithun|M Chinnaswamy Stadium|1.998|1
56|A Mithun|MA Chidambaram Stadium, Chepauk|2.3729999999999998|1
57|A Mukund|MA Chidambaram Stadium, Chepauk|1.3499999999999999|1
58|A Mukund|Sawai Mansingh Stadium|2.775|1
59|A Nehra|Eden Gardens|-0.2595|1
60|A Nehra|Feroz Shah Kotla|0.5655|1
61|A Nehra|M Chinnaswamy Stadium|-0.297|1
62|A Nehra|MA Chidambaram Stadium, Chepauk|-0.27225|1
63|A Nehra|OUTsurance Oval|-0.222|1
64|A Nehra|Punjab Cricket Association Stadium, Mohali|-0.147|1
65|A Nehra|Rajiv Gandhi International Stadium, Uppal|-0.2595|1
66|A Nehra|Sawai Mansingh Stadium|0.378|1
67|A Nehra|Wankhede Stadium|-0.27225|1
68|A Singh|Eden Gardens|-0.8549999999999999|1
69|A Singh|Kingsmead|-0.7799999999999999|1
70|A Singh|OUTsurance Oval|-0.8549999999999999|1
71|A Singh|Sawai Mansingh Stadium|-0.7799999999999999|1
72|A Singh|Wankhede Stadium|-0.8549999999999999|1
73|A Symonds|Barabati Stadium|10.968|1
74|A Symonds|Brabourne Stadium|9.242999999999999|1
75|A Symonds|De Beers Diamond Oval|11.043000000000001|1
76|A Symonds|Dr DY Patil Sports Academy|8.177999999999999|1
77|A Symonds|Eden Gardens|10.5555|1
78|A Symonds|Feroz Shah Kotla|11.718|1
79|A Symonds|Himachal Pradesh Cricket Association Stadium|7.967999999999999|1
80|A Symonds|Kingsmead|10.743|1
81|A Symonds|M Chinnaswamy Stadium|11.643|1
82|A Symonds|MA Chidambaram Stadium, Chepauk|11.418000000000001|1
83|A Symonds|New Wanderers Stadium|9.567749999999998|1
84|A Symonds|Punjab Cricket Association Stadium, Mohali|8.267999999999999|1
85|A Symonds|Rajiv Gandhi International Stadium, Uppal|11.99325|1
86|A Symonds|Sardar Patel Stadium, Motera|9.318|1
87|A Symonds|Sawai Mansingh Stadium|8.943|1
88|A Symonds|SuperSport Park|9.242999999999999|1
89|A Symonds|Vidarbha Cricket Association Stadium, Jamtha|9.192749999999998|1
90|A Symonds|Wankhede Stadium|8.613|1
91|A Uniyal|Brabourne Stadium|-0.44999999999999996|1
92|A Uniyal|Sardar Patel Stadium, Motera|-0.15|1
93|A Zampa|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|-0.22499999999999998|1
94|A Zampa|Maharashtra Cricket Association Stadium|0.15|1
95|AA Bilakhia|Kingsmead|2.60325|1
96|AA Bilakhia|New Wanderers Stadium|2.15325|1
97|AA Bilakhia|St George's Park|1.77825|1
98|AA Bilakhia|SuperSport Park|2.90325|1
99|AA Bilakhia|Vidarbha Cricket Association Stadium, Jamtha|1.85325|1
100|AA Chavan|Holkar Cricket Stadium|1.12575|1
101|AA Chavan|Sawai Mansingh Stadium|1.5757499999999998|1
102|AA Chavan|Wankhede Stadium|1.35075|1
103|AA Jhunjhunwala|Brabourne Stadium|4.663499999999999|1
104|AA Jhunjhunwala|Dr DY Patil Sports Academy|4.363499999999999|1
105|AA Jhunjhunwala|Feroz Shah Kotla|3.8384999999999994|1
106|AA Jhunjhunwala|M Chinnaswamy Stadium|3.9884999999999993|1
107|AA Jhunjhunwala|MA Chidambaram Stadium, Chepauk|3.913499999999999|1
108|AA Jhunjhunwala|Punjab Cricket Association Stadium, Mohali|3.6134999999999993|1
109|AA Jhunjhunwala|Rajiv Gandhi International Stadium, Uppal|5.038499999999999|1
110|AA Jhunjhunwala|Sardar Patel Stadium, Motera|6.3382499999999995|1
111|AA Jhunjhunwala|Sawai Mansingh Stadium|4.925999999999999|1
112|AA Jhunjhunwala|Vidarbha Cricket Association Stadium, Jamtha|4.4384999999999994|1
113|AA Noffke|M Chinnaswamy Stadium|2.25|1
114|AB Agarkar|Eden Gardens|2.472|1
115|AB Agarkar|Feroz Shah Kotla|2.82225|1
116|AB Agarkar|Kingsmead|2.8095|1
117|AB Agarkar|M Chinnaswamy Stadium|2.547|1
118|AB Agarkar|MA Chidambaram Stadium, Chepauk|2.847|1
119|AB Agarkar|New Wanderers Stadium|5.022|1
120|AB Agarkar|Newlands|2.397|1
121|AB Agarkar|Punjab Cricket Association Stadium, Mohali|2.172|1
122|AB Agarkar|Sawai Mansingh Stadium|3.597|1
123|AB Agarkar|Wankhede Stadium|2.922|1
124|AB Barath|Barabati Stadium|4.27575|1
125|AB Barath|Feroz Shah Kotla|3.9007500000000004|1
126|AB Barath|Punjab Cricket Association Stadium, Mohali|6.225750000000001|1
127|AB Dinda|Dubai International Cricket Stadium|-0.31349999999999995|1
128|AB Dinda|Feroz Shah Kotla|-0.46349999999999997|1
129|AB Dinda|M Chinnaswamy Stadium|-0.426|1
130|AB Dinda|Maharashtra Cricket Association Stadium|0.06150000000000002|1
131|AB Dinda|Newlands|-0.31349999999999995|1
132|AB Dinda|Punjab Cricket Association Stadium, Mohali|-0.31349999999999995|1
133|AB Dinda|Rajiv Gandhi International Stadium, Uppal|-0.46349999999999997|1
134|AB Dinda|Sawai Mansingh Stadium|-0.38849999999999996|1
135|AB Dinda|Sheikh Zayed Stadium|-0.46349999999999997|1
136|AB Dinda|St George's Park|-0.46349999999999997|1
137|AB Dinda|Subrata Roy Sahara Stadium|-0.26325|1
138|AB Dinda|Wankhede Stadium|-0.351|1
139|AB McDonald|Brabourne Stadium|6.0255|1
140|AB McDonald|Feroz Shah Kotla|4.600499999999999|1
141|AB McDonald|M Chinnaswamy Stadium|4.619249999999999|1
142|AB McDonald|MA Chidambaram Stadium, Chepauk|4.150499999999999|1
143|AB McDonald|New Wanderers Stadium|3.7754999999999996|1
144|AB McDonald|Punjab Cricket Association Stadium, Mohali|4.150499999999999|1
145|AB de Villiers|Barabati Stadium|11.93175|1
146|AB de Villiers|Brabourne Stadium|10.20675|1
147|AB de Villiers|Buffalo Park|13.65675|1
148|AB de Villiers|Dr DY Patil Sports Academy|11.48175|1
149|AB de Villiers|Dubai International Cricket Stadium|41.272999999999996|2
150|AB de Villiers|Eden Gardens|42.16025|2
151|AB de Villiers|Feroz Shah Kotla|41.56|2
152|AB de Villiers|Himachal Pradesh Cricket Association Stadium|12.45675|1
153|AB de Villiers|Holkar Cricket Stadium|16.58175|1
154|AB de Villiers|JSCA International Stadium Complex|11.33175|1
155|AB de Villiers|Kingsmead|15.49425|1
156|AB de Villiers|M Chinnaswamy Stadium|12.1695|1
157|AB de Villiers|M.Chinnaswamy Stadium|31.457999999999995|1
158|AB de Villiers|MA Chidambaram Stadium, Chepauk|36.94425|2
159|AB de Villiers|Maharashtra Cricket Association Stadium|36.997749999999996|2
160|AB de Villiers|Nehru Stadium|13.95675|1
161|AB de Villiers|New Wanderers Stadium|11.607|1
162|AB de Villiers|OUTsurance Oval|13.28175|1
163|AB de Villiers|Punjab Cricket Association IS Bindra Stadium, Mohali|48.1475|2
164|AB de Villiers|Punjab Cricket Association Stadium, Mohali|11.913|1
165|AB de Villiers|Rajiv Gandhi International Stadium, Uppal|34.7475|2
166|AB de Villiers|Sardar Patel Stadium, Motera|12.23175|1
167|AB de Villiers|Saurashtra Cricket Association Stadium|11.40675|1
168|AB de Villiers|Sawai Mansingh Stadium|41.29725|2
169|AB de Villiers|Shaheed Veer Narayan Singh International Stadium|10.35675|1
170|AB de Villiers|Sharjah Cricket Stadium|39.622499999999995|2
171|AB de Villiers|Sheikh Zayed Stadium|38.185|2
172|AB de Villiers|St George's Park|11.48175|1
173|AB de Villiers|Subrata Roy Sahara Stadium|12.11925|1
174|AB de Villiers|SuperSport Park|11.538|1
175|AB de Villiers|Wankhede Stadium|42.50975|2
176|AC Blizzard|Dr DY Patil Sports Academy|5.818499999999999|1
177|AC Blizzard|Feroz Shah Kotla|5.3685|1
178|AC Blizzard|MA Chidambaram Stadium, Chepauk|6.1185|1
179|AC Blizzard|Punjab Cricket Association Stadium, Mohali|6.4935|1
180|AC Blizzard|Wankhede Stadium|7.59375|1
181|AC Gilchrist|Barabati Stadium|10.152|1
182|AC Gilchrist|Brabourne Stadium|9.439499999999999|1
183|AC Gilchrist|Buffalo Park|8.014499999999998|1
184|AC Gilchrist|De Beers Diamond Oval|9.139499999999998|1
185|AC Gilchrist|Dr DY Patil Sports Academy|10.301999999999998|1
186|AC Gilchrist|Eden Gardens|9.364499999999998|1
187|AC Gilchrist|Feroz Shah Kotla|9.364499999999998|1
188|AC Gilchrist|Himachal Pradesh Cricket Association Stadium|10.780499999999998|1
189|AC Gilchrist|Holkar Cricket Stadium|8.689499999999999|1
190|AC Gilchrist|Kingsmead|11.589749999999997|1
191|AC Gilchrist|M Chinnaswamy Stadium|10.395749999999998|1
192|AC Gilchrist|MA Chidambaram Stadium, Chepauk|11.4645|1
193|AC Gilchrist|New Wanderers Stadium|9.664499999999999|1
194|AC Gilchrist|Newlands|11.164499999999999|1
195|AC Gilchrist|Punjab Cricket Association Stadium, Mohali|9.7455|1
196|AC Gilchrist|Rajiv Gandhi International Stadium, Uppal|9.697499999999998|1
197|AC Gilchrist|Sardar Patel Stadium, Motera|8.0895|1
198|AC Gilchrist|Sawai Mansingh Stadium|10.21425|1
199|AC Gilchrist|St George's Park|10.939499999999999|1
200|AC Gilchrist|Subrata Roy Sahara Stadium|8.801999999999998|1
201|AC Gilchrist|SuperSport Park|10.508249999999999|1
202|AC Gilchrist|Vidarbha Cricket Association Stadium, Jamtha|9.039749999999998|1
203|AC Gilchrist|Wankhede Stadium|8.014499999999998|1
204|AC Thomas|MA Chidambaram Stadium, Chepauk|1.425|1
205|AC Thomas|Subrata Roy Sahara Stadium|2.0625|1
206|AC Thomas|Wankhede Stadium|1.3499999999999999|1
207|AC Voges|Eden Gardens|7.19025|1
208|AC Voges|Feroz Shah Kotla|7.71525|1
209|AC Voges|Punjab Cricket Association Stadium, Mohali|9.96525|1
210|AC Voges|Sardar Patel Stadium, Motera|8.72775|1
211|AC Voges|Sawai Mansingh Stadium|8.69025|1
212|AD Hales|Feroz Shah Kotla|18.11075|1
213|AD Hales|M.Chinnaswamy Stadium|22.135749999999998|1
214|AD Hales|Maharashtra Cricket Association Stadium|16.010749999999998|1
215|AD Hales|Rajiv Gandhi International Stadium, Uppal|20.035749999999997|1
216|AD Hales|Sawai Mansingh Stadium|23.53575|1
217|AD Mascarenhas|Brabourne Stadium|2.37375|1
218|AD Mascarenhas|Eden Gardens|1.6987499999999998|1
219|AD Mascarenhas|Newlands|2.4734999999999996|1
220|AD Mascarenhas|Punjab Cricket Association Stadium, Mohali|2.37375|1
221|AD Mascarenhas|Rajiv Gandhi International Stadium, Uppal|2.07375|1
222|AD Mascarenhas|Sardar Patel Stadium, Motera|1.9237499999999998|1
223|AD Mascarenhas|Sawai Mansingh Stadium|2.37375|1
224|AD Mascarenhas|Subrata Roy Sahara Stadium|2.07375|1
225|AD Mascarenhas|SuperSport Park|2.2987499999999996|1
226|AD Mathews|Brabourne Stadium|5.302499999999999|1
227|AD Mathews|Dr DY Patil Sports Academy|9.464999999999998|1
228|AD Mathews|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|5.714999999999999|1
229|AD Mathews|Eden Gardens|6.21525|1
230|AD Mathews|Feroz Shah Kotla|5.69325|1
231|AD Mathews|M Chinnaswamy Stadium|4.889999999999999|1
232|AD Mathews|MA Chidambaram Stadium, Chepauk|7.402499999999999|1
233|AD Mathews|Maharashtra Cricket Association Stadium|5.039999999999999|1
234|AD Mathews|Punjab Cricket Association Stadium, Mohali|5.714999999999999|1
235|AD Mathews|Rajiv Gandhi International Stadium, Uppal|6.052499999999999|1
236|AD Mathews|Sawai Mansingh Stadium|6.127499999999999|1
237|AD Mathews|Subrata Roy Sahara Stadium|5.773499999999999|1
238|AD Mathews|SuperSport Park|5.789999999999999|1
239|AD Mathews|Wankhede Stadium|5.752499999999999|1
240|AD Nath|Eden Gardens|6.0024999999999995|1
241|AD Nath|M Chinnaswamy Stadium|1.8224999999999998|1
242|AD Nath|M.Chinnaswamy Stadium|6.410249999999999|1
243|AD Nath|Saurashtra Cricket Association Stadium|1.7849999999999997|1
244|AD Nath|Sawai Mansingh Stadium|5.302499999999999|1
245|AD Nath|Wankhede Stadium|6.574999999999999|2
246|AD Russell|Brabourne Stadium|12.41625|1
247|AD Russell|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|11.06625|1
248|AD Russell|Dubai International Cricket Stadium|26.78375|1
249|AD Russell|Eden Gardens|39.46675|2
250|AD Russell|Feroz Shah Kotla|42.78725|2
251|AD Russell|Holkar Cricket Stadium|27.92125|1
252|AD Russell|JSCA International Stadium Complex|9.71625|1
253|AD Russell|M Chinnaswamy Stadium|12.79125|1
254|AD Russell|M.Chinnaswamy Stadium|26.69625|1
255|AD Russell|MA Chidambaram Stadium, Chepauk|44.9625|2
256|AD Russell|Maharashtra Cricket Association Stadium|12.75375|1
257|AD Russell|Punjab Cricket Association IS Bindra Stadium, Mohali|26.69625|1
258|AD Russell|Rajiv Gandhi International Stadium, Uppal|33.95|2
259|AD Russell|Sardar Patel Stadium, Motera|9.71625|1
260|AD Russell|Sharjah Cricket Stadium|25.03375|1
261|AD Russell|Sheikh Zayed Stadium|23.861250000000002|1
262|AD Russell|Wankhede Stadium|33.825|2
