|bowler|venue|final_score_ball|matches
0|A Ashish Reddy|Barabati Stadium|6.9375|1
1|A Ashish Reddy|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|6.0|1
2|A Ashish Reddy|Eden Gardens|6.9375|1
3|A Ashish Reddy|M Chinnaswamy Stadium|6.0|1
4|A Ashish Reddy|MA Chidambaram Stadium, Chepauk|6.0|1
5|A Ashish Reddy|Rajiv Gandhi International Stadium, Uppal|7.40625|1
6|A Ashish Reddy|Subrata Roy Sahara Stadium|8.8125|1
7|A Ashish Reddy|Wankhede Stadium|6.9375|1
8|A Chandila|M Chinnaswamy Stadium|5.7555|1
9|A Chandila|MA Chidambaram Stadium, Chepauk|7.6305|1
10|A Chandila|Punjab Cricket Association Stadium, Mohali|7.6305|1
11|A Chandila|Rajiv Gandhi International Stadium, Uppal|7.6305|1
12|A Chandila|Sawai Mansingh Stadium|7.6305|1
13|A Choudhary|M Chinnaswamy Stadium|8.58|1
14|A Choudhary|Rajiv Gandhi International Stadium, Uppal|8.58|1
15|A Choudhary|Wankhede Stadium|8.58|1
16|A Dananjaya|Wankhede Stadium|-1.575|1
17|A Flintoff|Kingsmead|3.75075|1
18|A Flintoff|Newlands|5.62575|1
19|A Flintoff|St George's Park|5.62575|1
20|A Kumble|Brabourne Stadium|8.586749999999999|1
21|A Kumble|Dr DY Patil Sports Academy|11.39925|1
22|A Kumble|Eden Gardens|7.649249999999999|1
23|A Kumble|Feroz Shah Kotla|8.586749999999999|1
24|A Kumble|Kingsmead|9.993|1
25|A Kumble|M Chinnaswamy Stadium|8.43675|1
26|A Kumble|MA Chidambaram Stadium, Chepauk|10.46175|1
27|A Kumble|New Wanderers Stadium|9.524249999999999|1
28|A Kumble|Newlands|11.39925|1
29|A Kumble|Punjab Cricket Association Stadium, Mohali|7.649249999999999|1
30|A Kumble|Rajiv Gandhi International Stadium, Uppal|8.586749999999999|1
31|A Kumble|Sawai Mansingh Stadium|7.649249999999999|1
32|A Kumble|St George's Park|6.711749999999999|1
33|A Kumble|SuperSport Park|9.205499999999999|1
34|A Kumble|Vidarbha Cricket Association Stadium, Jamtha|8.586749999999999|1
35|A Mishra|Barabati Stadium|7.434749999999999|1
36|A Mishra|Brabourne Stadium|6.1785|1
37|A Mishra|Buffalo Park|6.1785|1
38|A Mishra|Dr DY Patil Sports Academy|9.9285|1
39|A Mishra|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|25.9075|2
40|A Mishra|Dubai International Cricket Stadium|20.595|2
