Player|venue|career_dream11_score
A Ashish Reddy|Barabati Stadium|9.65
A Ashish Reddy|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|13.53
A Ashish Reddy|Eden Gardens|13.71
A Ashish Reddy|M Chinnaswamy Stadium|13.79
A Ashish Reddy|MA Chidambaram Stadium, Chepauk|13.94
A Ashish Reddy|Rajiv Gandhi International Stadium, Uppal|14.52
A Ashish Reddy|Subrata Roy Sahara Stadium|16.71
A Ashish Reddy|Wankhede Stadium|14.16
A Ashish Reddy|Feroz Shah Kotla|7.68
A Ashish Reddy|Punjab Cricket Association Stadium, Mohali|8.13
A Ashish Reddy|Sawai Mansingh Stadium|7.53
A Chandila|M Chinnaswamy Stadium|11.16
A Chandila|MA Chidambaram Stadium, Chepauk|12.96
A Chandila|Punjab Cricket Association Stadium, Mohali|12.96
A Chandila|Rajiv Gandhi International Stadium, Uppal|12.74
A Chandila|Sawai Mansingh Stadium|12.96
A Choudhary|M Chinnaswamy Stadium|11.47
A Choudhary|Rajiv Gandhi International Stadium, Uppal|11.21
A Choudhary|Wankhede Stadium|8.58
A Dananjaya|Wankhede Stadium|-0.35
A Flintoff|Kingsmead|22.42
A Flintoff|Newlands|24.9
A Flintoff|St George's Park|24.75
A Kumble|Brabourne Stadium|10.78
A Kumble|Dr DY Patil Sports Academy|13.49
A Kumble|Eden Gardens|9.84
A Kumble|Feroz Shah Kotla|10.68
A Kumble|Kingsmead|12.24
A Kumble|M Chinnaswamy Stadium|10.58
A Kumble|MA Chidambaram Stadium, Chepauk|12.63
A Kumble|New Wanderers Stadium|11.62
A Kumble|Newlands|13.49
A Kumble|Punjab Cricket Association Stadium, Mohali|9.67
A Kumble|Rajiv Gandhi International Stadium, Uppal|10.78
A Kumble|Sawai Mansingh Stadium|10.27
A Kumble|St George's Park|9.03
A Kumble|SuperSport Park|11.4
A Kumble|Vidarbha Cricket Association Stadium, Jamtha|10.76
A Mishra|Barabati Stadium|9.6
A Mishra|Brabourne Stadium|8.79
A Mishra|Buffalo Park|7.43
A Mishra|Dr DY Patil Sports Academy|11.18
A Mishra|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|30.72
A Mishra|Dubai International Cricket Stadium|21.84
A Mishra|Eden Gardens|10.14
A Mishra|Feroz Shah Kotla|34.69
A Mishra|Green Park|10.78
A Mishra|Himachal Pradesh Cricket Association Stadium|14.93
A Mishra|Kingsmead|8.45
A Mishra|M Chinnaswamy Stadium|9.3
A Mishra|M.Chinnaswamy Stadium|8.9
A Mishra|MA Chidambaram Stadium, Chepauk|29.31
A Mishra|Maharashtra Cricket Association Stadium|29.97
A Mishra|Nehru Stadium|10.18
A Mishra|New Wanderers Stadium|11.94
A Mishra|OUTsurance Oval|13.05
A Mishra|Punjab Cricket Association IS Bindra Stadium, Mohali|23.02
A Mishra|Punjab Cricket Association Stadium, Mohali|8.68
A Mishra|Rajiv Gandhi International Stadium, Uppal|30.05
A Mishra|Sardar Patel Stadium, Motera|10.18
A Mishra|Saurashtra Cricket Association Stadium|9.3
A Mishra|Sawai Mansingh Stadium|26.79
