|Player|Mat|Inns|Balls|Mdns|Runs|Wkts|4|5|catch|stumping|Ave|SR|Econ|three_plus_catches|dream11_score_field
320|Mohammad Ashraful|1|0|0|0|0|0|0|0|2|0|0.0|0.0|0.0|0|16.0
250|Kamran Akmal|6|0|0|0|0|0|0|0|5|4|0.0|0.0|0.0|1|15.33
71|B Geeves|2|2|48|0|91|1|0|0|3|0|91.0|48.0|11.38|1|14.0
309|MN van Wyk|5|0|0|0|0|0|0|0|7|0|0.0|0.0|0.0|2|12.8
330|N Saini|10|0|0|0|0|0|0|0|11|2|0.0|0.0|0.0|3|12.4
5|A Flintoff|3|3|66|0|105|2|0|0|4|0|52.5|33.0|9.55|1|12.0
234|KH Devdhar|1|0|0|0|0|0|0|0|0|1|0.0|0.0|0.0|0|12.0
172|H Klaasen|7|0|0|0|0|0|0|0|3|4|0.0|0.0|0.0|1|10.86
211|JM Bairstow|10|0|0|0|0|0|0|0|9|2|0.0|0.0|0.0|3|10.8
555|YV Takawale|16|0|0|0|0|0|0|0|13|4|0.0|0.0|0.0|4|10.5
278|M Rawat|18|0|0|0|0|0|0|0|16|2|0.0|0.0|0.0|5|9.56
9|A Mukund|3|0|0|0|0|0|0|0|3|0|0.0|0.0|0.0|1|9.33
89|BR Dunk|3|0|0|0|0|0|0|0|3|0|0.0|0.0|0.0|1|9.33
264|LPC Silva|3|1|6|0|21|0|0|0|3|0|0.0|0.0|21.0|1|9.33
267|LS Livingstone|4|1|6|0|13|0|0|0|4|0|0.0|0.0|13.0|1|9.0
217|JPR Scantlebury-Searles|4|3|42|0|89|2|0|0|4|0|44.5|21.0|12.71|1|9.0
35|AF Milne|5|5|108|0|177|4|0|0|5|0|44.25|27.0|9.83|1|8.8
27|AC Gilchrist|80|1|1|0|0|1|0|0|51|16|0.0|1.0|0.0|17|8.35
404|RR Pant|54|0|0|0|0|0|0|0|33|11|0.0|0.0|0.0|11|8.15
472|SP Goswami|29|0|0|0|0|0|0|0|16|7|0.0|0.0|0.0|5|8.0
482|SS Shaikh|2|0|0|0|0|0|0|0|2|0|0.0|0.0|0.0|0|8.0
150|DT Patil|2|0|0|0|0|0|0|0|2|0|0.0|0.0|0.0|0|8.0
367|PR Shah|16|0|0|0|0|0|0|0|10|3|0.0|0.0|0.0|3|8.0
418|Rasikh Salam|1|1|24|0|42|0|0|0|1|0|0.0|0.0|10.5|0|8.0
506|T Mishra|1|0|0|0|0|0|0|0|1|0|0.0|0.0|0.0|0|8.0
540|Vishnu Vinod|3|0|0|0|0|0|0|0|0|2|0.0|0.0|0.0|0|8.0
557|Younis Khan|1|0|0|0|0|0|0|0|1|0|0.0|0.0|0.0|0|8.0
122|DAJ Bracewell|1|1|24|0|32|3|0|0|1|0|10.67|8.0|8.0|0|8.0
402|RR Bhatkal|1|1|12|0|35|0|0|0|1|0|0.0|0.0|17.5|0|8.0
548|Y Gnaneswara Rao|2|1|6|0|7|0|0|0|2|0|0.0|0.0|7.0|0|8.0
355|P Simran Singh|1|0|0|0|0|0|0|0|1|0|0.0|0.0|0.0|0|8.0
285|MA Wood|1|1|24|0|49|0|0|0|1|0|0.0|0.0|12.25|0|8.0
478|SS Agarwal|1|1|24|0|42|1|0|0|1|0|42.0|24.0|10.5|0|8.0
431|S Midhun|1|1|12|0|27|0|0|0|1|0|0.0|0.0|13.5|0|8.0
372|Q de Kock|50|0|0|0|0|0|0|0|31|8|0.0|0.0|0.0|10|7.68
233|KD Karthik|182|0|0|0|0|0|0|0|109|30|0.0|0.0|0.0|36|7.56
232|KC Sangakkara|71|0|0|0|0|0|0|0|45|9|0.0|0.0|0.0|15|7.44
131|DJ Jacobs|7|0|0|0|0|0|0|0|3|2|0.0|0.0|0.0|1|7.43
230|KB Arun Karthik|17|0|0|0|0|0|0|0|11|2|0.0|0.0|0.0|3|7.29
76|B Sumanth|5|0|0|0|0|0|0|0|4|0|0.0|0.0|0.0|1|7.2
257|L Ronchi|5|0|0|0|0|0|0|0|4|0|0.0|0.0|0.0|1|7.2
313|MS Dhoni|190|0|0|0|0|0|0|0|98|38|0.0|0.0|0.0|32|7.2
258|LA Carseldine|5|1|6|0|6|1|0|0|4|0|6.0|6.0|6.0|1|7.2
108|CK Kapugedera|5|3|17|0|49|0|0|0|4|0|0.0|0.0|17.29|1|7.2
126|DH Yagnik|25|0|0|0|0|0|0|0|12|5|0.0|0.0|0.0|4|6.88
312|MS Bisla|39|0|0|0|0|0|0|0|20|7|0.0|0.0|0.0|6|6.87
415|RV Uthappa|177|0|0|0|0|0|0|0|84|32|0.0|0.0|0.0|28|6.6
544|WP Saha|120|0|0|0|0|0|0|0|59|19|0.0|0.0|0.0|19|6.47
341|NV Ojha|113|0|0|0|0|0|0|0|65|10|0.0|0.0|0.0|21|6.41
380|R Parag|7|7|84|0|121|2|0|0|5|0|60.5|42.0|8.64|1|6.29
456|SE Rutherford|7|6|41|0|59|1|0|0|5|0|59.0|41.0|8.63|1|6.29
498|Shoaib Malik|7|5|51|0|85|2|0|0|5|0|42.5|25.5|10.0|1|6.29
336|NK Patel|9|0|0|0|0|0|0|0|6|0|0.0|0.0|0.0|2|6.22
25|AB de Villiers|154|0|0|0|0|0|0|0|93|7|0.0|0.0|0.0|31|6.18
175|HH Pandya|66|60|869|0|1313|42|0|0|43|0|31.26|20.69|9.07|14|6.06
357|PA Patel|139|0|0|0|0|0|0|0|69|16|0.0|0.0|0.0|23|6.01
244|KMDN Kulasekara|6|5|102|0|120|5|0|0|4|0|24.0|20.4|7.06|1|6.0
111|CM Gautam|13|0|0|0|0|0|0|0|3|4|0.0|0.0|0.0|1|5.85
120|DA Miller|79|0|0|0|0|0|0|0|49|0|0.0|0.0|0.0|16|5.77
174|HH Gibbs|36|0|0|0|0|0|0|0|22|0|0.0|0.0|0.0|7|5.67
470|SO Hetmyer|5|0|0|0|0|0|0|0|3|0|0.0|0.0|0.0|1|5.6
62|Anirudh Singh|5|0|0|0|0|0|0|0|3|0|0.0|0.0|0.0|1|5.6
156|F du Plessis|71|1|6|0|16|0|0|0|42|0|0.0|0.0|16.0|14|5.52
243|KMA Paul|8|8|163|0|237|9|0|0|5|0|26.33|18.11|8.72|1|5.5
208|JJ Roy|8|0|0|0|0|0|0|0|5|0|0.0|0.0|0.0|1|5.5
284|MA Starc|27|26|580|1|693|34|1|0|16|0|20.38|17.06|7.17|5|5.48
487|SW Billings|22|0|0|0|0|0|0|0|13|0|0.0|0.0|0.0|4|5.45
199|JC Buttler|45|0|0|0|0|0|0|0|25|1|0.0|0.0|0.0|8|5.42
47|AP Dole|3|3|66|0|112|5|0|0|2|0|22.4|13.2|10.18|0|5.33
464|SM Harwood|3|3|60|0|73|3|0|0|2|0|24.33|20.0|7.3|0|5.33
1|A Chandila|12|12|234|0|242|11|1|0|7|0|22.0|21.27|6.21|2|5.33
340|NS Naik|3|0|0|0|0|0|0|0|2|0|0.0|0.0|0.0|0|5.33
88|BMAJ Mendis|3|2|30|0|36|1|0|0|2|0|36.0|30.0|7.2|0|5.33
134|DJ Willey|3|3|60|0|95|2|0|0|2|0|47.5|30.0|9.5|0|5.33
411|RS Sodhi|3|0|0|0|0|0|0|0|2|0|0.0|0.0|0.0|0|5.33
316|MV Boucher|31|0|0|0|0|0|0|0|14|3|0.0|0.0|0.0|4|5.29
228|KA Pollard|148|81|1199|0|1770|56|1|0|82|0|31.61|21.41|8.86|27|5.16
26|AC Blizzard|7|0|0|0|0|0|0|0|4|0|0.0|0.0|0.0|1|5.14
127|DJ Bravo|134|131|2585|2|3618|147|2|0|74|0|24.61|17.59|8.4|24|5.13
13|A Symonds|39|30|527|0|674|20|0|0|21|0|33.7|26.35|7.67|7|5.03
419|S Anirudha|20|0|0|0|0|0|0|0|11|0|0.0|0.0|0.0|3|5.0
395|RJ Harris|37|37|832|3|1047|45|1|0|20|0|23.27|18.49|7.55|6|4.97
192|J Botha|34|34|694|0|800|25|0|0|18|0|32.0|27.76|6.92|6|4.94
458|SK Raina|193|69|908|0|1118|25|0|0|102|0|44.72|36.32|7.39|34|4.93
296|MJ Guptill|13|0|0|0|0|0|0|0|7|0|0.0|0.0|0.0|2|4.92
240|KL Rahul|67|0|0|0|0|0|0|0|29|5|0.0|0.0|0.0|9|4.9
399|RK Singh|9|0|0|0|0|0|0|0|5|0|0.0|0.0|0.0|1|4.89
475|SPD Smith|81|1|2|0|5|0|0|0|42|0|0.0|0.0|15.0|14|4.84
269|M Kaif|29|0|0|0|0|0|0|0|15|0|0.0|0.0|0.0|5|4.83
486|SV Samson|93|0|0|0|0|0|0|0|43|4|0.0|0.0|0.0|14|4.82
193|J Suchith|15|14|270|0|396|12|0|0|8|0|33.0|22.5|8.8|2|4.8
532|V Shankar|33|10|84|0|147|2|0|0|17|0|73.5|42.0|10.5|5|4.73
133|DJ Thornely|6|4|42|0|40|3|0|0|3|0|13.33|14.0|5.71|1|4.67
